archived	default_branch	description	downloaded	name	owner	stars	url
false	master	Snippet plugin for vim/nvim that supports LSP/VSCode's snippet format.	Mon Sep 27 10:00:10 PM UTC 2021	vim-vsnip	hrsh7th	430	https://api.github.com/repos/hrsh7th/vim-vsnip
false	master	A 24bit colorscheme for Vim, Airline and Lightline	Mon Sep 27 10:00:11 PM UTC 2021	tender.vim	jacoborus	865	https://api.github.com/repos/jacoborus/tender.vim
false	master	collaborative editing in Neovim using built-in capabilities	Mon Sep 27 10:00:12 PM UTC 2021	instant.nvim	jbyuki	437	https://api.github.com/repos/jbyuki/instant.nvim
false	main	Use Neovim as a language server to inject LSP diagnostics, code actions, and more via Lua.	Mon Sep 27 10:00:12 PM UTC 2021	null-ls.nvim	jose-elias-alvarez	334	https://api.github.com/repos/jose-elias-alvarez/null-ls.nvim
false	master	Async plugin for vim and neovim to ease the use of ctags/gtags	Mon Sep 27 10:00:13 PM UTC 2021	gen_tags.vim	jsfaint	294	https://api.github.com/repos/jsfaint/gen_tags.vim
false	master	🍞 Toast! A colorful, medium-contrast color scheme with full Vim and Neovim support and automatic light and dark variants. Easy to read without frying your retinae.	Mon Sep 27 10:00:14 PM UTC 2021	toast.vim	jsit	117	https://api.github.com/repos/jsit/toast.vim
false	master	:cherry_blossom: A command-line fuzzy finder	Mon Sep 27 10:00:14 PM UTC 2021	fzf	junegunn	39372	https://api.github.com/repos/junegunn/fzf
false	master	:sunflower: A Vim alignment plugin	Mon Sep 27 10:00:15 PM UTC 2021	vim-easy-align	junegunn	3429	https://api.github.com/repos/junegunn/vim-easy-align
false	main	Provides the missing :LspInstall for nvim-lspconfig	Mon Sep 27 10:00:15 PM UTC 2021	nvim-lspinstall	kabouzeid	514	https://api.github.com/repos/kabouzeid/nvim-lspinstall
false	main	Better quickfix window in Neovim, polish old quickfix window.	Mon Sep 27 10:00:16 PM UTC 2021	nvim-bqf	kevinhwang91	398	https://api.github.com/repos/kevinhwang91/nvim-bqf
false	master	(Do)cumentation (Ge)nerator 10+ languages 📚 Generate proper code documentation skeletons with a single keypress. ⚡️🔥	Mon Sep 27 10:00:17 PM UTC 2021	vim-doge	kkoomen	644	https://api.github.com/repos/kkoomen/vim-doge
false	master	Orgmode clone written in Lua for Neovim 0.5+.	Mon Sep 27 10:00:18 PM UTC 2021	orgmode.nvim	kristijanhusak	712	https://api.github.com/repos/kristijanhusak/orgmode.nvim
false	master	Database autocompletion powered by https://github.com/tpope/vim-dadbod	Mon Sep 27 10:00:19 PM UTC 2021	vim-dadbod-completion	kristijanhusak	236	https://api.github.com/repos/kristijanhusak/vim-dadbod-completion
false	master	Simple UI for https://github.com/tpope/vim-dadbod	Mon Sep 27 10:00:19 PM UTC 2021	vim-dadbod-ui	kristijanhusak	424	https://api.github.com/repos/kristijanhusak/vim-dadbod-ui
false	master	Keep buffer dimensions in proportion when terminal window is resized	Mon Sep 27 10:00:20 PM UTC 2021	bufresize.nvim	kwkarlwang	54	https://api.github.com/repos/kwkarlwang/bufresize.nvim
false	main	Git signs written in pure lua	Mon Sep 27 10:00:20 PM UTC 2021	gitsigns.nvim	lewis6991	757	https://api.github.com/repos/lewis6991/gitsigns.nvim
false	main	Improve startup time for Neovim	Mon Sep 27 10:00:21 PM UTC 2021	impatient.nvim	lewis6991	243	https://api.github.com/repos/lewis6991/impatient.nvim
false	master	vim support for skim	Mon Sep 27 10:00:22 PM UTC 2021	skim.vim	lotabout	113	https://api.github.com/repos/lotabout/skim.vim
false	master	Indent guides  for Neovim	Mon Sep 27 10:00:23 PM UTC 2021	indent-blankline.nvim	lukas-reineke	766	https://api.github.com/repos/lukas-reineke/indent-blankline.nvim
false	master	Set of operators and textobjects to search/select/edit sandwiched texts.	Mon Sep 27 10:00:23 PM UTC 2021	vim-sandwich	machakann	892	https://api.github.com/repos/machakann/vim-sandwich
false	master	Async completion framework made ease.	Mon Sep 27 10:00:24 PM UTC 2021	completor.vim	maralla	1180	https://api.github.com/repos/maralla/completor.vim
false	master	Debug Adapter Protocol client implementation for Neovim (>= 0.5)	Mon Sep 27 10:00:24 PM UTC 2021	nvim-dap	mfussenegger	836	https://api.github.com/repos/mfussenegger/nvim-dap
false	master	An asynchronous linter plugin for Neovim (>= 0.5) complementary to the built-in Language Server Protocol support.	Mon Sep 27 10:00:25 PM UTC 2021	nvim-lint	mfussenegger	173	https://api.github.com/repos/mfussenegger/nvim-lint
false	master	null	Mon Sep 27 10:00:26 PM UTC 2021	formatter.nvim	mhartington	328	https://api.github.com/repos/mhartington/formatter.nvim
false	master	A neovim plugin to run lines/blocs of code (independently of the rest of the file), supporting multiples languages	Mon Sep 27 10:00:26 PM UTC 2021	sniprun	michaelb	353	https://api.github.com/repos/michaelb/sniprun
false	master	enhanced increment/decrement plugin for Neovim.	Mon Sep 27 10:00:27 PM UTC 2021	dial.nvim	monaqa	124	https://api.github.com/repos/monaqa/dial.nvim
false	coq	Fast as FUCK nvim completion. SQLite, concurrent scheduler, hundreds of hours of optimization.	Mon Sep 27 10:00:28 PM UTC 2021	coq_nvim	ms-jpq	1573	https://api.github.com/repos/ms-jpq/coq_nvim
false	master	:heart: Slim, Fast and Hackable Completion Framework for Neovim	Mon Sep 27 10:00:28 PM UTC 2021	ncm2	ncm2	1254	https://api.github.com/repos/ncm2/ncm2
false	master	Quickstart configurations for the Nvim LSP client	Mon Sep 27 10:00:29 PM UTC 2021	nvim-lspconfig	neovim	2798	https://api.github.com/repos/neovim/nvim-lspconfig
false	master	A async completion framework aims to provide completion to neovim's built in LSP written in Lua	Mon Sep 27 10:00:30 PM UTC 2021	completion-nvim	nvim-lua	990	https://api.github.com/repos/nvim-lua/completion-nvim
false	master	Find, Filter, Preview, Pick. All lua, all the time.	Mon Sep 27 10:00:30 PM UTC 2021	telescope.nvim	nvim-telescope	3494	https://api.github.com/repos/nvim-telescope/telescope.nvim
false	master	Make neovim the best note taking application	Mon Sep 27 10:00:31 PM UTC 2021	neuron.nvim	oberblastmeister	214	https://api.github.com/repos/oberblastmeister/neuron.nvim
false	main	A Neovim plugin to make the LSP client use FZF	Mon Sep 27 10:00:32 PM UTC 2021	nvim-lspfuzzy	ojroques	212	https://api.github.com/repos/ojroques/nvim-lspfuzzy
false	master	A lightweight Vim/Neovim plugin to display buffers and tabs in the tabline	Mon Sep 27 10:00:32 PM UTC 2021	vem-tabline	pacha	147	https://api.github.com/repos/pacha/vem-tabline
false	master	VIM Colour scheme	Mon Sep 27 10:00:33 PM UTC 2021	vim-monokai-tasty	patstockwell	295	https://api.github.com/repos/patstockwell/vim-monokai-tasty
false	master	Neovim motions on speed!	Mon Sep 27 10:00:33 PM UTC 2021	hop.nvim	phaazon	647	https://api.github.com/repos/phaazon/hop.nvim
false	master	Edit and review GitHub issues and pull requests from the comfort of your favorite editor	Mon Sep 27 10:00:34 PM UTC 2021	octo.nvim	pwntester	520	https://api.github.com/repos/pwntester/octo.nvim
false	master	Navigate codes like a breeze.  Exploring LSP and 🌲Treesitter symbols a piece of 🍰	Mon Sep 27 10:00:36 PM UTC 2021	navigator.lua	ray-x	343	https://api.github.com/repos/ray-x/navigator.lua
false	master	The neovim tabline plugin.	Mon Sep 27 10:00:37 PM UTC 2021	barbar.nvim	romgrk	696	https://api.github.com/repos/romgrk/barbar.nvim
false	master	Show code context	Mon Sep 27 10:00:37 PM UTC 2021	nvim-treesitter-context	romgrk	290	https://api.github.com/repos/romgrk/nvim-treesitter-context
false	master	A todoist extension for neovim	Mon Sep 27 10:00:38 PM UTC 2021	todoist.nvim	romgrk	96	https://api.github.com/repos/romgrk/todoist.nvim
false	master	🌲 Comfortable & Pleasant Color Scheme for Vim	Mon Sep 27 10:00:39 PM UTC 2021	everforest	sainnhe	650	https://api.github.com/repos/sainnhe/everforest
false	main	Single tabpage interface for easily cycling through diffs for all modified files for any git rev.	Mon Sep 27 10:00:39 PM UTC 2021	diffview.nvim	sindrets	505	https://api.github.com/repos/sindrets/diffview.nvim
false	main	A Vim plugin for fuzzy selection of files, buffers, tags, and more	Mon Sep 27 10:00:40 PM UTC 2021	vim-picker	srstevenson	192	https://api.github.com/repos/srstevenson/vim-picker
false	master	Neovim plugin for a code outline window	Mon Sep 27 10:00:41 PM UTC 2021	aerial.nvim	stevearc	140	https://api.github.com/repos/stevearc/aerial.nvim
false	master	Manage branches and tags with fzf	Mon Sep 27 10:00:41 PM UTC 2021	fzf-checkout.vim	stsewd	162	https://api.github.com/repos/stsewd/fzf-checkout.vim
false	master	🚪 A simple file explorer	Mon Sep 27 10:00:42 PM UTC 2021	lir.nvim	tamago324	122	https://api.github.com/repos/tamago324/lir.nvim
false	main	Visual Git Plugin for Neovim	Mon Sep 27 10:00:42 PM UTC 2021	vgit.nvim	tanvirtin	160	https://api.github.com/repos/tanvirtin/vgit.nvim
false	master	A testing framework for Vim script.	Mon Sep 27 10:00:43 PM UTC 2021	vim-themis	thinca	204	https://api.github.com/repos/thinca/vim-themis
false	master	lua-fmt is pretty-printer for Lua code	Mon Sep 27 10:00:44 PM UTC 2021	lua-fmt	trixnz	157	https://api.github.com/repos/trixnz/lua-fmt
false	master	Run your tests at the speed of thought	Mon Sep 27 10:00:44 PM UTC 2021	vim-test	vim-test	2195	https://api.github.com/repos/vim-test/vim-test
false	master	A use-package inspired plugin manager for Neovim. Uses native packages, supports Luarocks dependencies, written in Lua, allows for expressive config	Mon Sep 27 10:00:45 PM UTC 2021	packer.nvim	wbthomason	1409	https://api.github.com/repos/wbthomason/packer.nvim
false	master	Vim plugin that shows the context of the currently visible buffer contents	Mon Sep 27 10:00:46 PM UTC 2021	context.vim	wellle	809	https://api.github.com/repos/wellle/context.vim
false	master	Vim plugin to control splits with visual selections or text objects	Mon Sep 27 10:00:46 PM UTC 2021	visual-split.vim	wellle	201	https://api.github.com/repos/wellle/visual-split.vim
false	master	📡 Blazing fast minimap / scrollbar for vim, powered by code-minimap written in Rust.	Mon Sep 27 10:00:47 PM UTC 2021	minimap.vim	wfxr	586	https://api.github.com/repos/wfxr/minimap.vim
false	master	The next generation neovim statusline.  Animation statusline	Mon Sep 27 10:00:48 PM UTC 2021	windline.nvim	windwp	106	https://api.github.com/repos/windwp/windline.nvim
false	main	Go development plugin for Neovim written in pure Go	Mon Sep 27 10:00:48 PM UTC 2021	nvim-go	zchee	243	https://api.github.com/repos/zchee/nvim-go
